拼音声调,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
dun,twɵ̯ɹ̩̃,twən,d̥uɘ̹̑n̚,tuən,tuən,tuən,tuən,tuəⁿ,tuən,d̥uən,tuən
duo,tʊ,two,d̥wo̜̽,tuo,tuo̟,tuo,tuo,tuo,tuo,d̥uɤ,tuo̞͑
e,ɯ̽,ɤ,ɤʌ̟̑,ɤ,ɤʌ̯,ɤ,ɤ,ɤ,ɤᶺ,ɤ,ɤᶺ
ei,ɛe̯,eɪ,e̽ɪ̯,ei,e̠i,ei,ei,eⁱ,eɪ,ei,eɪ
en,ɘ̯ɹ̩̃,ən,ə̟n̚,ən,ən,ən,ən,əⁿ,ən,ən,ən
eng,ɤ̯ɯ̃,ɤŋ,ɤ̽ŋ̚,əŋ,əŋ,əŋ,əŋ,əᵑ,əŋ,ʌŋ,ʌŋ
er,əɻ,əɻ,ə̠ɻ˕,ɚ,ɚ,ɚ,ɚ,ɚ,ɚ,ɚ,ᶺə˞
fa,fɜ,fa,fä,fa,fa̠,fᴀ,fᴀ,fᴀ,fᴀ,fᴀ,fᴀ
fan,fɜɹ̃,fan,fa̠n̚,fan,fa̝n,fan,fan,fæⁿ,fan,fan,fan
fang,fʌɰ̃,fɑŋ,fɑ̟ŋ̚,faŋ,fa̝ŋ,faŋ,fɑŋ,fɑᵑ,fɑŋ,fɑŋ,fɑŋ
fei,fɛe̯,feɪ,fe̽ɪ̯,fei,fe̠i,fei,fei,feⁱ,feɪ,fei,feɪ
fen,fɘ̯ɹ̩̃,fən,fə̟n̚,fən,fən,fən,fən,fəⁿ,fən,fən,fən
feng,fɤ̯ɯ̃,fɤŋ,fɤ̽ŋ̚,fəŋ,fəŋ,fəŋ,fəŋ,fəᵑ,fəŋ,fʌŋ,fʌŋ
fiao,fjəɔ̯,fjɑʊ,fjɑ̟ʊ̯,fiau,fia̝u,fiau,fiɑu,fiɑᵘ,fiɑʊ,fiɑu,fiɑʊ
